DATE,SALINITY,SALINITY_UNITS
2022-01-20,31.0,ppt
2022-01-21,29.0,ppt
2022-01-22,29.0,ppt
2022-01-23,28.0,ppt
2022-01-24,28.0,ppt
2022-01-25,28.0,ppt
2022-01-26,28.0,ppt
2022-01-27,28.0,ppt
2022-01-28,28.0,ppt
2022-01-29,30.0,ppt
2022-01-30,30.0,ppt
2022-01-31,30.0,ppt
2022-02-01,31.0,ppt
2022-02-02,31.0,ppt
2022-02-03,31.0,ppt
2022-02-04,31.0,ppt
2022-02-05,32.0,ppt
2022-02-06,32.0,ppt
2022-02-07,32.0,ppt
2022-02-08,32.0,ppt
2022-02-09,32.0,ppt
2022-02-10,32.0,ppt
2022-02-11,33.0,ppt
2022-02-12,33.0,ppt
2022-02-13,33.0,ppt
2022-02-14,33.0,ppt
2022-03-03,33.0,ppt
2022-03-04,34.0,ppt
2022-03-05,35.0,ppt
2022-03-06,34.0,ppt
2022-03-07,33.0,ppt
2022-03-08,33.0,ppt
2022-03-09,33.0,ppt
2022-03-10,33.0,ppt
2022-03-11,34.0,ppt
2022-03-12,34.0,ppt
2022-03-13,36.0,ppt
2022-03-14,36.0,ppt
2022-03-15,35.0,ppt
2022-03-16,34.0,ppt
2022-03-17,34.0,ppt
2022-03-18,33.0,ppt
2022-03-19,33.0,ppt
2022-03-20,33.0,ppt
2022-03-21,34.0,ppt
2022-03-22,34.0,ppt
2022-03-23,33.0,ppt
2022-03-24,33.0,ppt
2022-03-25,34.0,ppt
2022-03-26,36.0,ppt
2022-03-27,36.0,ppt
2022-03-28,36.0,ppt
2022-03-29,36.0,ppt
2022-03-30,37.0,ppt
2022-03-31,35.0,ppt
2022-04-01,35.0,ppt
2022-04-02,35.0,ppt
2022-04-03,35.0,ppt
2022-04-04,35.0,ppt
2022-04-05,35.0,ppt
2022-04-06,35.0,ppt
2022-04-07,36.0,ppt
2022-04-08,37.0,ppt
2022-04-09,39.0,ppt
2022-04-10,44.0,ppt
2022-04-11,44.0,ppt
2022-04-12,44.0,ppt
2022-04-13,42.0,ppt
2022-04-14,41.0,ppt
2022-04-15,41.0,ppt
2022-04-16,40.0,ppt
2022-04-17,40.0,ppt
2022-04-18,39.0,ppt
2022-04-20,39.0,ppt
2022-04-21,40.0,ppt
2022-04-22,41.0,ppt
2022-04-23,41.0,ppt
2022-04-24,40.0,ppt
2022-04-25,40.0,ppt
2022-04-26,40.0,ppt
2022-04-27,40.0,ppt
2022-04-28,41.0,ppt
2022-04-29,41.0,ppt
2022-04-30,41.0,ppt
2022-05-01,42.0,ppt
2022-05-02,42.0,ppt
2022-05-03,42.0,ppt
2022-05-20,39.0,ppt
2022-05-21,39.0,ppt
2022-05-22,40.0,ppt
2022-05-23,41.0,ppt
2022-05-24,40.0,ppt
2022-05-25,39.0,ppt
2022-05-26,38.0,ppt
2022-05-27,38.0,ppt
2022-05-28,38.0,ppt
2022-05-29,39.0,ppt
2022-05-30,39.0,ppt
2022-05-31,40.0,ppt
2022-06-01,39.0,ppt
2022-06-02,38.0,ppt
2022-06-03,34.0,ppt
2022-06-04,30.0,ppt
2022-06-05,29.0,ppt
2022-06-06,29.0,ppt
2022-06-07,28.0,ppt
2022-06-08,27.0,ppt
2022-06-09,28.0,ppt
2022-06-10,28.0,ppt
2022-06-11,28.0,ppt
2022-06-12,28.0,ppt
2022-06-13,28.0,ppt
2022-06-14,28.0,ppt
2022-06-15,28.0,ppt
2022-06-16,28.0,ppt
2022-06-17,28.0,ppt
2022-06-18,28.0,ppt
2022-06-19,30.0,ppt
2022-06-20,31.0,ppt
2022-06-21,31.0,ppt
2022-06-24,33.0,ppt
2022-06-25,33.0,ppt
2022-06-26,34.0,ppt
2022-06-27,34.0,ppt
2022-06-28,35.0,ppt
2022-06-29,35.0,ppt
2022-06-30,35.0,ppt
2022-07-01,35.0,ppt
2022-07-02,36.0,ppt
2022-07-03,36.0,ppt
2022-07-04,36.0,ppt
2022-07-05,36.0,ppt
2022-07-06,35.0,ppt
2022-07-07,33.0,ppt
2022-07-08,34.0,ppt
2022-07-09,34.0,ppt
2022-07-10,34.0,ppt
2022-07-11,34.0,ppt
2022-07-12,34.0,ppt
2022-07-13,35.0,ppt
2022-07-14,34.0,ppt
2022-07-15,34.0,ppt
2022-07-20,35.0,ppt
2022-07-21,35.0,ppt
2022-07-22,34.0,ppt
2022-07-23,34.0,ppt
2022-07-24,35.0,ppt
2022-07-25,36.0,ppt
2022-07-26,36.0,ppt
2022-07-27,36.0,ppt
2022-07-28,36.0,ppt
2022-07-29,37.0,ppt
2022-07-30,39.0,ppt
2022-07-31,39.0,ppt
2022-08-01,39.0,ppt
2022-08-02,40.0,ppt
2022-08-03,40.0,ppt
2022-08-04,40.0,ppt
2022-08-05,41.0,ppt
2022-08-06,40.0,ppt
2022-08-07,40.0,ppt
2022-08-08,41.0,ppt
2022-08-09,40.0,ppt
2022-08-10,39.0,ppt
2022-08-11,39.0,ppt
2022-08-12,39.0,ppt
2022-08-13,39.0,ppt
2022-08-14,39.0,ppt
2022-08-15,41.0,ppt
2022-08-16,41.0,ppt
2022-08-17,41.0,ppt
2022-08-19,41.0,ppt
2022-08-21,42.0,ppt
2022-08-22,41.0,ppt
2022-08-23,41.0,ppt
2022-08-24,41.0,ppt
2022-08-25,41.0,ppt
2022-08-26,40.0,ppt
2022-08-27,40.0,ppt
2022-08-28,40.0,ppt
2022-08-29,39.0,ppt
2022-08-30,39.0,ppt
2022-08-31,39.0,ppt
2022-09-01,39.0,ppt
2022-09-02,40.0,ppt
2022-09-03,40.0,ppt
2022-09-04,40.0,ppt
2022-09-05,40.0,ppt
2022-09-06,40.0,ppt
2022-09-07,40.0,ppt
2022-09-08,40.0,ppt
2022-09-09,40.0,ppt
2022-09-10,39.0,ppt
2022-09-11,39.0,ppt
2022-09-12,39.0,ppt
2022-09-13,39.0,ppt
2022-09-14,39.0,ppt
2022-09-15,39.0,ppt
2022-09-16,40.0,ppt
2022-09-17,41.0,ppt
2022-09-18,41.0,ppt
2022-09-19,40.0,ppt
2022-09-20,39.0,ppt
2022-09-21,38.0,ppt
2022-09-22,38.0,ppt
2022-09-23,38.0,ppt
2022-09-24,37.0,ppt
2022-09-25,37.0,ppt
2022-09-26,36.0,ppt
2022-09-27,31.0,ppt
2022-10-01,34.0,ppt
2022-10-02,34.0,ppt
2022-10-03,34.0,ppt
2022-10-04,34.0,ppt
2022-10-05,34.0,ppt
2022-10-06,34.0,ppt
2022-10-07,34.0,ppt
2022-10-08,34.0,ppt
2022-10-09,34.0,ppt
2022-10-10,34.0,ppt
2022-10-11,34.0,ppt
2022-10-12,34.0,ppt
2022-10-13,34.0,ppt
2022-10-14,34.0,ppt
2022-10-15,33.0,ppt
2022-10-16,31.0,ppt
2022-10-17,31.0,ppt
2022-10-18,31.0,ppt
2022-10-19,29.0,ppt
2022-10-21,29.0,ppt
2022-10-22,29.0,ppt
2022-10-23,29.0,ppt
2022-10-24,29.0,ppt
2022-10-25,29.0,ppt
2022-10-26,28.0,ppt
2022-10-27,29.0,ppt
2022-10-28,28.0,ppt
2022-10-29,28.0,ppt
2022-10-30,28.0,ppt
2022-10-31,28.0,ppt
2022-11-01,29.0,ppt
2022-11-02,29.0,ppt
2022-11-03,30.0,ppt
2022-11-04,30.0,ppt
2022-11-05,30.0,ppt
2022-11-06,30.0,ppt
2022-11-07,30.0,ppt
2022-11-08,31.0,ppt
2022-11-09,31.0,ppt
2022-11-10,30.0,ppt
2022-11-11,30.0,ppt
2022-11-12,31.0,ppt
2022-11-13,31.0,ppt
2022-11-14,31.0,ppt
2022-11-15,31.0,ppt
2022-11-16,32.0,ppt
2022-11-17,32.0,ppt
2022-11-18,32.0,ppt
2022-11-19,32.0,ppt
2022-11-20,32.0,ppt
2022-11-21,31.0,ppt
2022-11-22,30.0,ppt
2022-11-23,30.0,ppt
2022-11-24,30.0,ppt
2022-11-25,30.0,ppt
2022-11-26,30.0,ppt
2022-11-27,31.0,ppt
2022-11-28,31.0,ppt
2022-11-29,31.0,ppt
2022-11-30,30.0,ppt
2022-12-01,32.0,ppt
2022-12-02,32.0,ppt
2022-12-03,32.0,ppt
2022-12-04,32.0,ppt
2022-12-05,32.0,ppt
2022-12-06,31.0,ppt
2022-12-07,31.0,ppt
2022-12-08,31.0,ppt
2022-12-09,33.0,ppt
2022-12-10,33.0,ppt
2022-12-11,33.0,ppt
2022-12-12,33.0,ppt
2022-12-13,32.0,ppt
2022-12-14,32.0,ppt
2022-12-15,33.0,ppt
2022-12-16,33.0,ppt
2022-12-17,34.0,ppt
2022-12-18,33.0,ppt
2022-12-19,33.0,ppt
2022-12-20,32.0,ppt
2022-12-21,31.0,ppt
2022-12-23,31.0,ppt
2022-12-24,31.0,ppt
2022-12-25,32.0,ppt
2022-12-30,31.0,ppt
2022-12-31,31.0,ppt
2023-01-01,31.0,ppt
2023-01-02,31.0,ppt
2023-01-03,31.0,ppt
2023-01-04,30.0,ppt
2023-01-05,30.0,ppt
2023-01-06,32.0,ppt
2023-01-07,32.0,ppt
2023-01-08,32.0,ppt
2023-01-09,32.0,ppt
2023-01-10,32.0,ppt
2023-01-11,32.0,ppt
2023-01-12,32.0,ppt
2023-01-13,32.0,ppt
2023-01-14,32.0,ppt
2023-01-15,33.0,ppt
2023-01-16,32.0,ppt
2023-01-17,32.0,ppt
2023-01-18,32.0,ppt
2023-01-19,32.0,ppt
2023-01-20,32.0,ppt
2023-01-21,32.0,ppt
2023-01-22,32.0,ppt
2023-01-23,32.0,ppt
2023-01-24,32.0,ppt
2023-01-25,32.0,ppt
2023-01-26,32.0,ppt
2023-01-27,33.0,ppt
2023-01-28,33.0,ppt
2023-01-29,33.0,ppt
2023-01-30,33.0,ppt
2023-01-31,33.0,ppt
2023-02-01,33.0,ppt
2023-02-02,33.0,ppt
2023-02-03,33.0,ppt
2023-02-04,34.0,ppt
2023-02-05,34.0,ppt
2023-02-06,34.0,ppt
2023-02-07,34.0,ppt
2023-02-08,34.0,ppt
2023-02-09,34.0,ppt
2023-02-10,33.0,ppt
2023-02-11,33.0,ppt
2023-02-12,35.0,ppt
2023-02-13,35.0,ppt
2023-02-14,35.0,ppt
2023-02-15,35.0,ppt
2023-02-16,34.0,ppt
2023-02-17,32.0,ppt
2023-02-18,31.0,ppt
2023-02-19,31.0,ppt
2023-02-20,31.0,ppt
2023-02-21,31.0,ppt
2023-02-22,31.0,ppt
2023-02-23,31.0,ppt
2023-02-24,31.0,ppt
2023-02-25,32.0,ppt
2023-02-26,32.0,ppt
2023-02-27,32.0,ppt
2023-02-28,33.0,ppt
2023-03-01,35.0,ppt
2023-03-02,35.0,ppt
2023-03-03,34.0,ppt
2023-03-04,34.0,ppt
2023-03-06,34.0,ppt
2023-03-07,34.0,ppt
2023-03-08,34.0,ppt
2023-03-09,33.0,ppt
2023-03-10,33.0,ppt
2023-03-11,35.0,ppt
2023-03-12,35.0,ppt
2023-03-13,35.0,ppt
2023-03-14,35.0,ppt
2023-03-15,36.0,ppt
2023-03-16,37.0,ppt
2023-03-17,36.0,ppt
2023-03-18,35.0,ppt
2023-03-19,35.0,ppt
2023-03-20,35.0,ppt
2023-03-29,39.0,ppt
2023-03-30,40.0,ppt
2023-03-31,42.0,ppt
2023-04-01,40.0,ppt
2023-04-02,40.0,ppt
2023-04-03,40.0,ppt
2023-04-04,40.0,ppt
2023-04-05,40.0,ppt
2023-04-06,39.0,ppt
2023-04-07,39.0,ppt
2023-04-08,39.0,ppt
2023-04-09,38.0,ppt
2023-04-11,42.0,ppt
2023-04-12,40.0,ppt
2023-04-13,39.0,ppt
2023-04-14,39.0,ppt
2023-04-15,39.0,ppt
2023-04-16,39.0,ppt
2023-04-17,40.0,ppt
2023-04-18,39.0,ppt
2023-04-19,40.0,ppt
2023-04-20,40.0,ppt
2023-04-21,40.0,ppt
2023-04-22,40.0,ppt
2023-04-23,40.0,ppt
2023-04-24,40.0,ppt
2023-04-25,41.0,ppt
2023-04-26,41.0,ppt
2023-04-27,41.0,ppt
2023-04-28,42.0,ppt
2023-04-29,42.0,ppt
2023-04-30,41.0,ppt
2023-05-01,42.0,ppt
2023-05-02,42.0,ppt
2023-05-03,42.0,ppt
2023-05-04,42.0,ppt
2023-05-05,42.0,ppt
2023-05-06,41.0,ppt
2023-05-07,42.0,ppt
2023-05-08,41.0,ppt
2023-05-09,40.0,ppt
2023-05-10,39.0,ppt
2023-05-11,39.0,ppt
2023-05-12,41.0,ppt
2023-05-13,41.0,ppt
2023-05-14,40.0,ppt
2023-05-15,40.0,ppt
2023-05-16,40.0,ppt
2023-05-17,40.0,ppt
2023-05-18,39.0,ppt
2023-05-19,41.0,ppt
2023-05-20,41.0,ppt
2023-05-21,41.0,ppt
2023-05-22,41.0,ppt
2023-05-23,39.0,ppt
2023-05-24,40.0,ppt
2023-05-25,40.0,ppt
2023-05-26,40.0,ppt
2023-05-27,41.0,ppt
2023-05-28,41.0,ppt
2023-05-29,41.0,ppt
2023-05-30,40.0,ppt
2023-05-31,40.0,ppt
2023-06-01,40.0,ppt
2023-06-02,39.0,ppt
2023-06-03,39.0,ppt
2023-06-04,37.0,ppt
2023-06-05,37.0,ppt
2023-06-06,37.0,ppt
2023-06-07,37.0,ppt
2023-06-08,36.0,ppt
2023-06-09,36.0,ppt
2023-06-10,36.0,ppt
2023-06-11,36.0,ppt
2023-06-12,36.0,ppt
2023-06-13,36.0,ppt
2023-06-14,36.0,ppt
2023-06-15,37.0,ppt
2023-06-16,37.0,ppt
2023-06-17,37.0,ppt
2023-06-18,37.0,ppt
2023-06-19,36.0,ppt
2023-06-20,36.0,ppt
2023-06-21,37.0,ppt
2023-06-22,36.0,ppt
2023-06-24,39.0,ppt
2023-06-25,40.0,ppt
2023-06-26,40.0,ppt
2023-06-27,41.0,ppt
2023-06-28,41.0,ppt
2023-06-29,41.0,ppt
2023-06-30,41.0,ppt
2023-07-01,40.0,ppt
2023-07-02,39.0,ppt
2023-07-03,39.0,ppt
2023-07-04,37.0,ppt
2023-07-05,36.0,ppt
2023-07-06,36.0,ppt
2023-07-07,34.0,ppt
2023-07-08,33.0,ppt
2023-07-09,34.0,ppt
2023-07-10,34.0,ppt
2023-07-11,35.0,ppt
2023-07-12,34.0,ppt
2023-07-13,35.0,ppt
2023-07-14,35.0,ppt
2023-07-15,36.0,ppt
2023-07-16,35.0,ppt
2023-07-17,36.0,ppt
2023-07-18,36.0,ppt
2023-07-19,36.0,ppt
2023-07-20,36.0,ppt
2023-07-21,37.0,ppt
2023-07-22,37.0,ppt
2023-07-23,38.0,ppt
2023-07-24,38.0,ppt
2023-07-27,39.0,ppt
2023-07-28,39.0,ppt
2023-07-30,39.0,ppt
2023-07-31,39.0,ppt
2023-08-01,39.0,ppt
2023-08-02,38.0,ppt
2023-08-03,38.0,ppt
2023-08-04,37.0,ppt
2023-08-05,35.0,ppt
2023-08-06,34.0,ppt
2023-08-07,33.0,ppt
2023-08-08,33.0,ppt
2023-08-09,33.0,ppt
2023-08-10,33.0,ppt
2023-08-11,32.0,ppt
2023-08-12,31.0,ppt
2023-08-13,29.0,ppt
2023-08-14,29.0,ppt
2023-09-07,36.0,ppt
2023-09-08,37.0,ppt
2023-09-09,37.0,ppt
2023-09-10,38.0,ppt
2023-09-11,38.0,ppt
2023-09-12,37.0,ppt
2023-09-13,36.0,ppt
2023-09-14,37.0,ppt
2023-09-15,38.0,ppt
2023-09-16,38.0,ppt
2023-09-17,38.0,ppt
2023-09-18,38.0,ppt
2023-09-19,38.0,ppt
2023-09-20,37.0,ppt
2023-09-21,37.0,ppt
2023-09-22,37.0,ppt
2023-09-23,36.0,ppt
2023-09-24,37.0,ppt
2023-09-25,37.0,ppt
2023-09-26,37.0,ppt
2023-09-27,38.0,ppt
2023-09-28,38.0,ppt
2023-09-29,37.0,ppt
2023-09-30,37.0,ppt
2023-10-01,36.0,ppt
2023-10-02,36.0,ppt
2023-10-03,35.0,ppt
2023-10-04,35.0,ppt
2023-10-05,35.0,ppt
2023-10-06,36.0,ppt
2023-10-07,36.0,ppt
2023-10-08,36.0,ppt
2023-10-09,36.0,ppt
2023-10-10,36.0,ppt
2023-10-11,36.0,ppt
2023-10-12,37.0,ppt
2023-10-13,38.0,ppt
2023-10-14,38.0,ppt
2023-10-15,38.0,ppt
2023-10-16,38.0,ppt
2023-10-17,37.0,ppt
2023-10-18,36.0,ppt
2023-10-19,36.0,ppt
2023-10-20,37.0,ppt
2023-10-21,38.0,ppt
2023-10-22,38.0,ppt
2023-10-23,37.0,ppt
2023-10-24,37.0,ppt
2023-10-25,36.0,ppt
2023-10-26,37.0,ppt
2023-10-27,38.0,ppt
2023-10-28,38.0,ppt
2023-10-29,39.0,ppt
2023-10-30,39.0,ppt
2023-10-31,39.0,ppt
2023-11-01,39.0,ppt
2023-11-02,39.0,ppt
2023-11-03,38.0,ppt
2023-11-04,39.0,ppt
2023-11-05,39.0,ppt
2023-11-06,39.0,ppt
2023-11-07,39.0,ppt
2023-11-08,40.0,ppt
2023-11-09,40.0,ppt
2023-11-10,40.0,ppt
2023-11-11,41.0,ppt
2023-11-12,42.0,ppt
2023-11-13,42.0,ppt
2023-11-14,42.0,ppt
2023-11-15,40.0,ppt
2023-11-16,33.0,ppt
2023-11-17,36.0,ppt
2023-11-18,36.0,ppt
2023-11-19,35.0,ppt
2023-11-20,34.0,ppt
2023-11-21,33.0,ppt
2023-11-22,35.0,ppt
2023-11-23,36.0,ppt
2023-11-24,36.0,ppt
2023-11-25,35.0,ppt
2023-11-26,36.0,ppt
2023-11-27,36.0,ppt
2023-11-28,35.0,ppt
2023-11-29,32.0,ppt
2023-11-30,32.0,ppt
2023-12-01,32.0,ppt
2023-12-02,33.0,ppt
2023-12-03,33.0,ppt
2023-12-21,28.0,ppt
2023-12-22,28.0,ppt
2023-12-23,29.0,ppt
2023-12-24,29.0,ppt
2023-12-25,28.0,ppt
2023-12-26,27.0,ppt
